扩展名,用途,变种,出处
.gsf,GIMP 可缩放字体,GSF,https://en.wikipedia.org/wiki/GIMP
.gsf,Google Safe Browsing 或其他 SF,gsf,https://en.wikipedia.org/wiki/Source_map
.gsm,GSM 06.10 全速率语音,GSM 06.10,https://en.wikipedia.org/wiki/Full_Rate
.gtf,Gene Transfer Format,GTF 2.5;Ensembl,https://en.wikipedia.org/wiki/Gene_transfer_format
.gym,GYM Genesis YM2612 音乐,GYM,https://en.wikipedia.org/wiki/Sega_Genesis
.gz,gzip 压缩,GZ/GZIP,https://en.wikipedia.org/wiki/Gzip
.gzip,Gzip 压缩,GNU Gzip,https://en.wikipedia.org/wiki/Gzip
.h,C/C++ header file,C99/C11/C17 header;include guard,https://en.wikipedia.org/wiki/Header_file
.h5,Hierarchical Data Format 5,HDF5 1.10/1.14;groups/datasets/attributes;chunked,https://en.wikipedia.org/wiki/HDF5
.h5,HDF5 文件,h5,https://en.wikipedia.org/wiki/Hierarchical_Data_Format
.har,"HTTP Archive 格式, Web 性能捕获",HAR 1.2,https://en.wikipedia.org/wiki/HAR_(file_format)
.hash,Hashcat hash 列表,"hash, hashes",https://hashcat.net/wiki/
.havok,Havok 1.x 物理,HAVOK,https://en.wikipedia.org/wiki/Havok_(software)
.hc,VeraCrypt/TrueCrypt 容器,hc (hidden),https://en.wikipedia.org/wiki/VeraCrypt
.hccapx,Hashcat WPA/WPA2 hash 格式,hccapx,https://hashcat.net/wiki/doku.php?id=hccapx
.hcl,HashiCorp Configuration Language,"HCL, tf",https://github.com/hashicorp/hcl
.hdd,Parallels 硬盘镜像,"hdd, hds",https://en.wikipedia.org/wiki/Parallels_Desktop
.hdf,Hierarchical Data Format 4 (legacy),HDF4;NCSA legacy,https://en.wikipedia.org/wiki/Hierarchical_Data_Format
.hdf5,HDF5 文件(全名),hdf5,https://en.wikipedia.org/wiki/Hierarchical_Data_Format
.hdmp,Windows heap dump,heap dump,https://en.wikipedia.org/wiki/Memory_dump
.hdr,RGBE/HDR high dynamic range Radiance format,RGBE;Radiance HDR;32-bit per pixel;floating point via exponent,https://en.wikipedia.org/wiki/Radiance_HDR
.hdr,NIfTI/ANALYZE header file (also for ImageJ),NIfTI/ANALYZE hdr/img pair;348-byte header;voxel sizes,https://en.wikipedia.org/wiki/ANALYZE
.hds,HTTP Dynamic Streaming (Adobe),HDS/F4M,https://en.wikipedia.org/wiki/HTTP_Dynamic_Streaming
.hds,Parallels 硬盘镜像(高密度),hds,https://en.wikipedia.org/wiki/Parallels_Desktop
.hdv,HDV 磁带视频,HDV,https://en.wikipedia.org/wiki/HDV
.heic,HEVC-coded images within HEIF (Apple default for iOS),HEVC encoded;single/multi-image;Live Photo;10-bit HDR;depth map;Apple iOS/macOS,https://en.wikipedia.org/wiki/HEIF
.heics,HEIF image sequence (Apple variant),HEIF Image Sequence (heics);multi-frame;used for Live Photos;HEVC,https://en.wikipedia.org/wiki/HEIF
.heif,High Efficiency Image File Format MPEG-H Part 12 (HEVC),HEVC (H.265) Main/Main10;8/10-bit;4:2:0/4:2:2/4:4:4;multi-image;alpha;depth maps,https://en.wikipedia.org/wiki/HEIF
.helm,Helm Chart 目录,Chart.yaml,https://helm.sh/docs/chart_template_guide/
.hes,Hu6280 Engine Sound,HES PC Engine,https://en.wikipedia.org/wiki/PC_Engine
.hex,Intel HEX 固件,HEX,https://en.wikipedia.org/wiki/Intel_HEX
.hfile,HBase HFile 持久化格式,HFile v1/v2/v3,https://en.wikipedia.org/wiki/Apache_HBase
.hfs,"Hierarchical File System, 经典 Mac","HFS, HFS standard",https://en.wikipedia.org/wiki/Hierarchical_File_System
.hfs+,"HFS Plus, macOS 主要 FS (1998-2017)","HFS+, HFS Plus",https://en.wikipedia.org/wiki/HFS_Plus
.hfsx,"HFSX, 大小写敏感分支",HFSX,https://en.wikipedia.org/wiki/HFS_Plus
.hh,C++ header file (common in C++/CLI),C++ header;Cowichan/Facebook Hack,https://en.wikipedia.org/wiki/Header_file
.hiberfil.sys,"Windows 休眠文件, 含 RAM 内容",hiberfil,https://en.wikipedia.org/wiki/Hibernation_(computing)
.hif,Alternate extension for HEIF/HEIC,Same as .heif;HEVC/H.265 encoding;multi-image;alpha channel,https://en.wikipedia.org/wiki/HEIF
.history,Shell 历史,history,https://en.wikipedia.org/wiki/Shell_history
.hkx,Havok 2.x 物理,HKX,https://en.wikipedia.org/wiki/Havok_(software)
.hl7,Health Level 7 message,HL7 v2.x/v3/FHIR;ASCII;EHR,https://en.wikipedia.org/wiki/Health_Level_7
.hlog,HBase WAL 日志文件,WAL,https://en.wikipedia.org/wiki/Apache_HBase
.hlp,Windows Help (legacy),WinHlp32.exe;legacy,https://en.wikipedia.org/wiki/WinHelp
.hls,HTTP Live Streaming,HLS/M3U8,https://en.wikipedia.org/wiki/HTTP_Live_Streaming
.hlsl,HLSL 源,HLSL,https://en.wikipedia.org/wiki/High-Level_Shading_Language
.hnsw,Hierarchical Navigable Small World 索引,hnswlib,https://en.wikipedia.org/wiki/Hierarchical_navigable_small_world
.hpgl,HP-GL (Hewlett-Packard Graphics Language) plotter,HP-GL;HP-GL/2;PEN/PU/PA commands;vector plotter,https://en.wikipedia.org/wiki/HP-GL
.hpp,C++ header file,C++ header;.hpp extension,https://en.wikipedia.org/wiki/Header_file
.hs,Haskell source code,Haskell 98/2010;GHC;Monad,https://en.wikipedia.org/wiki/Haskell_(programming_language)
.hss,HTTP Smooth Streaming (MS),HSS/ISM,https://en.wikipedia.org/wiki/Adaptive_bitrate_streaming#Microsoft_Smooth_Streaming
.hta,HTML Application (Microsoft HTA),HTML+IE/HTA runtime;deprecated,https://en.wikipedia.org/wiki/HTML_Application
.htaccess,Apache .htaccess 分布式配置,htaccess,https://httpd.apache.org/docs/current/howto/htaccess.html
.htm,Short alternate extension for HTML,Same as .html;legacy 3-char limit,https://en.wikipedia.org/wiki/HTML
.html,HyperText Markup Language (web page),HTML 4.01/5/5.1/5.2;XHTML serialized HTML;W3C/WHATWG,https://en.wikipedia.org/wiki/HTML
.html5,HTML5 page (rare extension),HTML5;WHATWG;MIME text/html,https://en.wikipedia.org/wiki/HTML5
.hxx,C++ header file (alternate),C++ header;rare,https://en.wikipedia.org/wiki/Header_file
.i64,IDA Pro 64-bit 数据库,i64,https://hex-rays.com/ida-pro/
.iam,Autodesk Inventor 装配,iam,https://en.wikipedia.org/wiki/Autodesk_Inventor
.ibd,MySQL InnoDB 单表文件,InnoDB tablespace,https://en.wikipedia.org/wiki/InnoDB
.ibdata1,MySQL InnoDB 系统表空间,system tablespace,https://en.wikipedia.org/wiki/InnoDB
.icf,Olympus IC 录音笔,ICF dictation,https://en.wikipedia.org/wiki/Olympus_DS
.ico,Windows Icon container for multi-resolution bitmap icons,ICO format;1/4/8/16/24/32 bpp;PNG-compressed entries;multi-resolution;Windows Vista+ PNG entries,https://en.wikipedia.org/wiki/ICO_(file_format)
.idb,IDA Pro 数据库,idb,https://hex-rays.com/ida-pro/
.idea,IntelliJ 工作区配置目录/文件,.idea/,https://www.jetbrains.com/help/idea/
.idw,Autodesk Inventor 工程图,idw,https://en.wikipedia.org/wiki/Autodesk_Inventor
.idx,VobSub 字幕索引,IDX,https://en.wikipedia.org/wiki/VobSub
.idx,Git pack 索引,IDX,https://en.wikipedia.org/wiki/Git
.idx,索引文件(各种应用),idx,https://en.wikipedia.org/wiki/Index_(search_engine)
.ifc,Industry Foundation Classes (BIM),IFC v2x3/v4 ADD2;STEP-based;BIM/CAD,https://en.wikipedia.org/wiki/Industry_Foundation_Classes
.ifcxml,IFC XML 表示,ifcxml,https://en.wikipedia.org/wiki/Industry_Foundation_Classes
.ifczip,ZIP 压缩 IFC,ifczip,https://en.wikipedia.org/wiki/Industry_Foundation_Classes
.ifo,DVD 信息文件,IFO/BUP,https://en.wikipedia.org/wiki/DVD-Video
.igg,Igor Pro packed experiment(早期),igg,https://en.wikipedia.org/wiki/Igor_Pro
.igs,.iges;Initial Graphics Exchange Specification 2D/3D CAD,IGES 5.3/6.0;ASCII;legacy CAD,https://en.wikipedia.org/wiki/IGES
.iiq,Phase One IQ digital back RAW,Phase One IIQ v1/v2;16-bit;medium-format;IIQ L/S/M,https://en.wikipedia.org/wiki/Raw_image_format
.il,.NET IL 字节码,IL/MSIL/CIL,https://en.wikipedia.org/wiki/Common_Intermediate_Language
.ima,"软盘原始镜像, 常见于 WinImage/DOSBox","raw, compressed imz",https://www.fileinfo.com/extension/ima
.img,ANALYZE 7.5 .img binary image data,ANALYZE 7.5 format;binary voxels;paired with .hdr,https://en.wikipedia.org/wiki/ANALYZE
.img,光盘原始镜像,IMG,https://en.wikipedia.org/wiki/Disk_image
.img,"原始磁盘/软盘镜像文件, 包含完整扇区数据","raw, dd, floppy, hdd",https://en.wikipedia.org/wiki/IMG_(file_format)
.iml,IntelliJ IDEA 模块文件,iml v0/v1/v2,https://www.jetbrains.com/help/idea/modules.html
.imovieproj,iMovie 13 项目,iMovie,https://en.wikipedia.org/wiki/IMovie
.imovieproject,iMovie 项目,iMovie 旧版,https://en.wikipedia.org/wiki/IMovie
.imz,"压缩软盘镜像, WinImage 格式",imz (zlib),https://www.fileinfo.com/extension/imz
.inchi,InChI chemical identifier,InChI v1;InChIKey,https://en.wikipedia.org/wiki/International_Chemical_Identifier
.index.json,OCI Image 顶层索引,index.json,https://github.com/opencontainers/image-spec/blob/main/manifest.md
.inf,PostScript 字体 Info,INF,https://en.wikipedia.org/wiki/Adobe_Font_Metrics
.inf,Windows 安装信息文件,inf,https://learn.microsoft.com/en-us/windows-hardware/drivers/install/using-inf-files
.influxdb,InfluxDB 引擎文件 TSM/TSI,"TSM, TSI",https://en.wikipedia.org/wiki/InfluxDB
.ini,Windows INI configuration,MS-DOS/Windows INI;[section];key=value;comments,https://en.wikipedia.org/wiki/INI_file
.inl,C++ inline file,Inline functions;templated code,https://en.wikipedia.org/wiki/Header_file
.ins,LaTeX installation/source extraction file,LaTeX docstrip;generates source from .dtx,https://en.wikipedia.org/wiki/LateX
.ip6tables-save,ip6tables 规则备份格式,ip6tables-save,https://linux.die.net/man/8/ip6tables-save
.ipa,iOS App Store Package,IPA,https://en.wikipedia.org/wiki/.ipa
.ipch,Visual C++ IntelliSense 预编译头,ipch,https://en.wikipedia.org/wiki/Visual_Studio
.ipfix,"IP Flow Information Export, RFC 7011",IPFIX,https://en.wikipedia.org/wiki/IP_Flow_Information_Export
.ipn,Autodesk Inventor 演示,ipn,https://en.wikipedia.org/wiki/Autodesk_Inventor
.ipr,IntelliJ 项目文件(已弃用),ipr,https://www.jetbrains.com/help/idea/
.ipt,Autodesk Inventor 零件,ipt,https://en.wikipedia.org/wiki/Autodesk_Inventor
.iptables-save,iptables 规则备份格式,iptables-save,https://linux.die.net/man/8/iptables-save
.ipynb,Jupyter notebook JSON,nbformat v2/v3/v4 (Jupyter);Python/R/Julia;cell,https://en.wikipedia.org/wiki/IPython
.isi,ISI Web of Science export,ISI export;Web of Science,https://en.wikipedia.org/wiki/Web_of_Science
.iso,光盘 ISO 9660 镜像,ISO 9660/UDF,https://en.wikipedia.org/wiki/ISO_9660
.it,Impulse Tracker 模块,IT compressed,https://en.wikipedia.org/wiki/Impulse_Tracker
.ivs,Aircrack-ng IVS 旧抓包,ivs,https://www.aircrack-ng.org/documentation.html
.iws,IntelliJ 工作区状态(已弃用),iws,https://www.jetbrains.com/help/idea/
.j2c,Alternate extension for JPEG 2000 Part-1 codestream,J2K codestream;Part-1 compatible;wavelet/lossy/lossless,https://en.wikipedia.org/wiki/JPEG_2000
.j2k,JPEG 2000 raw codestream (no JP2 wrapper),J2K codestream;wavelet transform;lossy/lossless;SIZ/COD/COC markers,https://en.wikipedia.org/wiki/JPEG_2000
.jar,Java ARchive,JAR,https://en.wikipedia.org/wiki/JAR_(file_format)
.java,Java source code,Java 1.0-21;Oracle;package;class,https://en.wikipedia.org/wiki/Java_(programming_language)
.jenkinsfile,Jenkins Pipeline 脚本,jenkinsfile,https://www.jenkins.io/doc/book/pipeline/
.jfif,JPEG File Interchange Format standardized JPEG container,JFIF 1.02 specification;C-Cube Microsystems;baseline/progressive;YUV color,https://en.wikipedia.org/wiki/JPEG_File_Interchange_Format
.jfs,IBM Journaled File System v1/v2,jfs v1/v2,https://en.wikipedia.org/wiki/JFS_(file_system)
.jif,JFIF (JPEG File Interchange Format) variant of JPEG,JFIF 1.02 wrapper;no Exif;baseline/progressive;lossy DCT,https://en.wikipedia.org/wiki/JPEG_File_Interchange_Format
.jks,"Java KeyStore, 二进制 keystore","JKS, JCEKS",https://docs.oracle.com/javase/8/docs/api/java/security/KeyStore.html
.jl,Julia source code,Julia 1.0+;.jl;Julia-Lang,https://en.wikipedia.org/wiki/Julia_(programming_language)
.jmod,Java 模块,JMOD,https://en.wikipedia.org/wiki/JMOD
.jng,JPEG Network Graphics (JPEG + alpha channel via PNG),MNG sub-format;JPEG-encoded image;optional alpha via PNG chunks;gamma correction,https://en.wikipedia.org/wiki/Multiple-image_Network_Graphics
.jp2,JPEG 2000 Part 1 (ISO 15444-1) wavelet-based image,J2K codestream in JP2 box;lossy/lossless;wavelet (EBCOT);8/12/16-bit;alpha;tiling;ROI;JP2 box,https://en.wikipedia.org/wiki/JPEG_2000
.jpe,Less common alternate extension for JPEG image,Identical to .jpg/.jpeg;ITU-T T.81 baseline DCT;JFIF/Exif container,https://en.wikipedia.org/wiki/JPEG
.jpeg,Alternate filename extension for JPEG photographic image,Same as .jpg;common on Windows for legacy 3-letter limit;JFIF/Exif/ITU-T T.81 baseline/progressive,https://en.wikipedia.org/wiki/JPEG
.jpf,JPEG 2000 Part 2 (ISO 15444-2) extensions,MJ2/MJ2S-compatible;extensions for JP2 including wavelet packet;multi-component,https://en.wikipedia.org/wiki/JPEG_2000
.jpg,JPEG lossy compressed photographic raster image widely used for photos,JPEG baseline (DCT);progressive;JFIF 1.02;Exif;8-bit YCbCr;lossless mode;JPEG XL (.jxl) is successor,https://en.wikipedia.org/wiki/JPEG
.jpm,JPEG 2000 Part 6 (ISO 15444-6) for compound documents,Mixed raster content (MRC);JPEG 2000 + JBIG2 + JPEG;used for scanned documents,https://en.wikipedia.org/wiki/JPEG_2000
.jps,JPEG Stereo (3D side-by-side JPEG),3D stereoscopic JPEG;left/right image pairs;MPF,https://en.wikipedia.org/wiki/Stereo_jpeg
.jpx,JPEG 2000 Part 2 file format (JPX),JP2 with Part-2 extensions;wavelet packet;MCT;12+ components;IPR,https://en.wikipedia.org/wiki/JPEG_2000
.js,JavaScript source code,ECMAScript 1-13+;Node.js;browser,https://en.wikipedia.org/wiki/JavaScript
.jse,JScript Encoded file,JScript Encoded;Windows Script Host,https://en.wikipedia.org/wiki/JScript
.json,JavaScript Object Notation data,JSON RFC 8259;object/array/string/number/bool/null;UTF-8/16/32,https://en.wikipedia.org/wiki/JSON
.json5,JSON5 superset,JSON5 v1.0.0;ECMAScript comments/trailing commas/quotes,https://en.wikipedia.org/wiki/JSON#JSON5
.jsonc,JSON with comments (VS Code),JSONC;JSON with // and /* */ comments;Microsoft,https://en.wikipedia.org/wiki/JSON#JSONC
.jsonl,JSON Lines (newline-delimited),NDJSON RFC 7464;one JSON value per line,https://en.wikipedia.org/wiki/JSON#JSON_Streaming
.jsp,JavaServer Pages (J2EE),JSP;Apache Tomcat;Servlet,https://en.wikipedia.org/wiki/Jakarta_Server_Pages
.jspx,JavaServer Pages XML syntax,JSPX;XML JSP,https://en.wikipedia.org/wiki/Jakarta_Server_Pages
.jsx,JavaScript with JSX,React JSX;.jsx;Babel/SWC,https://en.wikipedia.org/wiki/JSX_(JavaScript)
.jxl,JPEG XL next-generation image format (ISO 18181),JPEG XL Part-1 (ISO 18181-1);lossy/lossess;reversible JPEG transcoding;animation;alpha;10/12/16-bit;wide gamut,https://en.wikipedia.org/wiki/JPEG_XL
.kar,Karaoke MIDI 文件,Kar=SMF+lyrics,https://en.wikipedia.org/wiki/Karaoke_file
.kdh,Chinese Academic Journal (CNKI KDH),CAJ/KDH/KHN/HNB;CNKI;scanned,https://en.wikipedia.org/wiki/CNKI
.kern.log,Debian/Ubuntu 内核日志文件,kern.log,https://en.wikipedia.org/wiki/Syslog
.kext,macOS 内核扩展,kext,https://en.wikipedia.org/wiki/Kernel_extension
.key,Apple Keynote presentation,KEY 1.0+;zip+XML+images;macOS/iCloud,https://en.wikipedia.org/wiki/Keynote_(presentation_software)
.key,私钥文件,KEY,https://en.wikipedia.org/wiki/Public_key_certificate
.key,通用私钥文件,key,https://en.wikipedia.org/wiki/Public_key_infrastructure
.keystore,Java 密钥库通用扩展名,"jks, jceks, pkcs12",https://docs.oracle.com/javase/8/docs/api/java/security/KeyStore.html
.keytab,Kerberos 密钥表文件,keytab,https://web.mit.edu/kerberos/krb5-latest/doc/basic/keytab_def.html
.kf,Gamebryo KF 动画,KF,https://en.wikipedia.org/wiki/Gamebryo
.kfx,Amazon KFX 2/3 e-book,KFX v2/v3;IMAGIN;CSS3;SVG;fixed-layout;audio,https://en.wikipedia.org/wiki/Amazon_Kindle
.kml,Keyhole Markup Language (Google Earth),KML 2.2/2.3;OGC;XML,https://en.wikipedia.org/wiki/Keyhole_Markup_Language
.kmz,KML Zipped,KMZ (zipped KML);Google Earth,https://en.wikipedia.org/wiki/Keyhole_Markup_Language
.known_hosts,SSH 客户端已知主机密钥,known_hosts,https://man.openbsd.org/ssh_config
.ko,Linux 内核模块,KO,https://en.wikipedia.org/wiki/Kernel_module
.kpp,Krita 1.x legacy paint program layer format,Krita 1.x native;layers;legacy only;zip-compressed,https://en.wikipedia.org/wiki/Krita
.kra,Krita document format,Krita 2.x/3.x/4.x/5.x;layers/masks/vector;zstd/zip;PSD-compatible subset,https://en.wikipedia.org/wiki/Krita
.ksh,Korn shell 脚本,KSH,https://en.wikipedia.org/wiki/KornShell
.kss,KSS Konami Sound System,KSS MSX,https://en.wikipedia.org/wiki/Konami_Sound_System
.kt,Kotlin source code,Kotlin 1.0-2.0;JetBrains;Android,https://en.wikipedia.org/wiki/Kotlin_(programming_language)
.kts,Kotlin script,KR file with Kotlin script;top-level code,https://en.wikipedia.org/wiki/Kotlin_(programming_language)
.ktx,Khronos Texture,KTX,https://en.wikipedia.org/wiki/KTX_(file_format)
.ktx2,Khronos Texture 2.0,KTX2 Basis,https://en.wikipedia.org/wiki/KTX_(file_format)
.kustomization.yaml,Kubernetes Kustomize 配置,"kustomization.yaml, kustomization.yml",https://kustomize.io/
.lancedb,Lance 列式向量数据库,lance,https://lancedb.github.io/lance/
.lastlog,Linux 上次登录记录,lastlog,https://en.wikipedia.org/wiki/Utmp
.latex,LaTeX source (rarely used),TeX/LaTeX source;not standard but used,https://en.wikipedia.org/wiki/LaTeX
.lck,锁文件(常见于 Windows),lck,https://en.wikipedia.org/wiki/File_locking
.ldb,"LevelDB SST 文件, 或 LDAP 数据库","ldb, sst",https://en.wikipedia.org/wiki/LevelDB
.ldf,SQL Server 事务日志文件,transaction log,https://en.wikipedia.org/wiki/Microsoft_SQL_Server
.ldif,"LDAP Data Interchange Format, RFC 2849",ldif,https://en.wikipedia.org/wiki/LDAP_Data_Interchange_Format
.lease,DHCP 租约文件,"lease, leases",https://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol
.less,Leaner Style Sheets (Bootstrap),Less.js;CSS superset;@variable;nested rules,https://en.wikipedia.org/wiki/Less_(stylesheet_language)
.lesshst,Less 分页器历史,lesshst,https://man.openbsd.org/less
.leveldb,Google LevelDB 键值存储,"ldb, log, MANIFEST",https://en.wikipedia.org/wiki/LevelDB
.lha,LHA 归档,LHA/LZH,https://en.wikipedia.org/wiki/LHA_(file_format)
.lit,Microsoft LIT e-book (DRMed),Microsoft Reader LIT;DRM;legacy,https://en.wikipedia.org/wiki/Microsoft_Reader
.livekd,Live Kernel Dump 调试格式,livekd,https://learn.microsoft.com/en-us/sysinternals/downloads/livekd
.lmdb,Lightning Memory-Mapped Database,"lmdb, mdb",https://en.wikipedia.org/wiki/Lightning_Memory-Mapped_Database
.lock,通用锁文件,lock,https://en.wikipedia.org/wiki/File_locking
.lockfile,显式命名锁文件,lockfile,https://en.wikipedia.org/wiki/File_locking
.lof,LaTeX list of figures,LaTeX .lof,https://en.wikipedia.org/wiki/LaTeX
.lofi,Solaris loopback file driver 设备,lofi,https://en.wikipedia.org/wiki/Loop_device
.log,Log file (plain text),Plain text;timestamped;RFC 5424 syslog often,https://en.wikipedia.org/wiki/Log_file
.lot,LaTeX list of tables,LaTeX .lot,https://en.wikipedia.org/wiki/LateX
.lrf,Portable Reader File (Sony),LRF;Sony LRF/LRS;legacy Sony Reader,https://en.wikipedia.org/wiki/BBeB
.lrs,Portable Reader File (Sony XML),LRS/LRF;Sony Reader;XML variant,https://en.wikipedia.org/wiki/BBeB
.lst,列表文件,LST,https://en.wikipedia.org/wiki/Manifest_file
.ltx,LaTeX2e source (alternate),LaTeX2e;\\documentclass;preamble,https://en.wikipedia.org/wiki/LaTeX
.lua,Lua source code,Lua 5.0-5.4;.lua;lpeg/lfs,https://en.wikipedia.org/wiki/Lua_(programming_language)
.luac,Lua compiled bytecode,Lua 5.x chunk;luac,https://en.wikipedia.org/wiki/Lua_(programming_language)
.lucene,Apache Lucene 倒排索引,lucene segments,https://en.wikipedia.org/wiki/Apache_Lucene
.luks,Linux Unified Key Setup 加密卷头,"LUKS1, LUKS2",https://en.wikipedia.org/wiki/Linux_Unified_Key_Setup
.lwo,LightWave 3D object,LWO v4-v6 (LWOB/LWO2);layers/surfaces;binary,https://en.wikipedia.org/wiki/LightWave_3D
.lws,LightWave 3D scene file,LWS ASCII;layout;animation,https://en.wikipedia.org/wiki/LightWave_3D
.lxd.tar.xz,LXD 容器导出镜像,lxd.tar.xz,https://linuxcontainers.org/lxd/docs/latest/
.lxo,Modo 场景,LXO,https://en.wikipedia.org/wiki/Modo_(software)
.lxproj,LX Studio project (legacy DAW),LXP;Audacity-LAMH,https://en.wikipedia.org/wiki/Audacity
.lz,Lzip 压缩,LZ,https://en.wikipedia.org/wiki/Lzip
.lz4,LZ4 压缩,LZ4 frame,https://en.wikipedia.org/wiki/LZ4
.lzh,LZH 归档,LZH,https://en.wikipedia.org/wiki/LHA_(file_format)
.lzma,LZMA 压缩流,LZMA,https://en.wikipedia.org/wiki/LZMA
.lzo,LZO 压缩,LZO,https://en.wikipedia.org/wiki/LZO
.lzop,lzop 压缩,LZOP,https://en.wikipedia.org/wiki/Lzop
.m,Objective-C source code,ObjC;Objective-C 2.0+;Cocoa;macOS/iOS,https://en.wikipedia.org/wiki/Objective-C
.m,MATLAB 脚本/函数 / Octave / Mathematica pkg,m,https://en.wikipedia.org/wiki/MATLAB
.m1v,MPEG-1 视频裸流,M1V,https://en.wikipedia.org/wiki/MPEG-1
.m2t,HDV MPEG-2 TS,M2T,https://en.wikipedia.org/wiki/HDV
.m2ts,Blu-ray BDAV MPEG-2 TS,M2TS/MTS,https://en.wikipedia.org/wiki/Blu-ray
.m2v,MPEG-2 视频裸流,M2V,https://en.wikipedia.org/wiki/MPEG-2
.m3u,M3U 播放列表,M3U/M3U8,https://en.wikipedia.org/wiki/M3U
.m3u8,HLS 播放列表,M3U8 UTF-8,https://en.wikipedia.org/wiki/M3U
.m4a,MPEG-4 Audio 容器 (AAC),iTunes AAC/ALAC/HE-AAC,https://en.wikipedia.org/wiki/M4A
.m4b,MPEG-4 Audiobook 容器,iTunes有声书 AAC,https://en.wikipedia.org/wiki/M4A
.m4p,受 DRM 保护的 MPEG-4 音频,FairPlay DRM AAC,https://en.wikipedia.org/wiki/M4A
.m4r,iPhone 铃声 MPEG-4 容器,AAC ringtone,https://en.wikipedia.org/wiki/M4A
.m4s,MPEG-DASH 分段,M4S,https://en.wikipedia.org/wiki/Dynamic_Adaptive_Streaming_over_HTTP
.m4v,iTunes MPEG-4 视频,M4V/FairPlay,https://en.wikipedia.org/wiki/M4V
.ma,Autodesk Maya ASCII scene,MA ASCII;MEL scripting;LODs;animation,https://en.wikipedia.org/wiki/Autodesk_Maya
.macho,Mach-O 二进制,Mach-O,https://en.wikipedia.org/wiki/Mach-O
.mak,Microsoft NMake / Visual C++ makefile,mak,https://learn.microsoft.com/en-us/cpp/build/reference/nmake-reference
.makefile,Make 构建脚本,"GNU make, BSD make",https://en.wikipedia.org/wiki/Make_(software)
.manifest,LSM 树 manifest 文件,MANIFEST,https://en.wikipedia.org/wiki/Log-structured_merge-tree
.manifest.json,Docker Image manifest,manifest.json,https://github.com/moby/docker-image-spec/blob/main/spec.md
.map,Linker Map 文件 / Source Map,map,https://en.wikipedia.org/wiki/Source_map
.markdown,Markdown file (longer extension),CommonMark/GFM/MultiMarkdown;plain text;UTF-8,https://en.wikipedia.org/wiki/Markdown
.mat,MATLAB data file,MATLAB v4/v5/v7.3 (HDF5);matrix,https://en.wikipedia.org/wiki/MATLAB
.max,Autodesk 3ds Max scene,MAX binary;3ds Max;particles;animation,https://en.wikipedia.org/wiki/Autodesk_3ds_Max
.mb,Autodesk Maya binary scene,MB binary;Maya;faster load,https://en.wikipedia.org/wiki/Autodesk_Maya
.mb3,Manga Browser 3 archive (CBZ variant),Comic book archive;Manga Reader format,https://en.wikipedia.org/wiki/Comic_book_archive
.mbm,Rainmeter BM Font 音频,MBM,https://en.wikipedia.org/wiki/Rainmeter
.mbox,"Unix 标准邮箱文件, From 分隔多封邮件","mbox, mboxo, mboxrd",https://en.wikipedia.org/wiki/Mbox
.mbr,主引导记录,MBR,https://en.wikipedia.org/wiki/Master_boot_record
.mbx,"Mbox 格式邮箱文件, 标准 Unix 邮件存储","mbx, mboxo, mboxrd, mboxcl2",https://en.wikipedia.org/wiki/Mbox
.mc,MoxieCode 备份,MC,https://en.wikipedia.org/wiki/Moxiecode
.mcif,Macromolecular CIF,mmCIF;protein;X-ray,https://en.wikipedia.org/wiki/Crystallographic_Information_File
.md,Markdown lightweight markup,CommonMark 0.30;GFM (GitHub Flavored);Multimarkdown;Pandoc Markdown,https://en.wikipedia.org/wiki/Markdown
.mdb,Microsoft Access 2003 database,Access 2003/2007/2010/2013/2016/2019;Jet/ACE;MDE,https://en.wikipedia.org/wiki/Microsoft_Access
.mdd,Pointcache MDD,Motion Designer,https://en.wikipedia.org/wiki/Point_cache
.mde,Microsoft Access 编译执行文件 (旧),MDE 2000-2003,https://en.wikipedia.org/wiki/Microsoft_Access
.mdf,Alcohol 120% 媒体描述,MDF/MDS,https://en.wikipedia.org/wiki/Alcohol_120%
.mdf,Alcohol 120% 创建的光盘镜像格式 / SQL Server 主数据文件,"MDF v1/v2, PRIMARY data file, with .mds",https://en.wikipedia.org/wiki/Media_Descriptor_File
.mdmp,Windows 64-bit minidump,minidump64,https://learn.microsoft.com/en-us/windows/win32/debug/minidump_directory
.mdown,Markdown file (alternate extension),CommonMark/GFM;plain text,https://en.wikipedia.org/wiki/Markdown
.mdp,MediBang Paint Pro document,MediBang format;layers;zip;Android/iOS,https://en.wikipedia.org/wiki/MediBang
.mdr,Module Multitrack 录音,MDR,https://en.wikipedia.org/wiki/Multitrack_recording
.mds,MIDI Stream Dump,Multi Sequence File,https://en.wikipedia.org/wiki/MIDI
.mds,Alcohol 120% 元数据,MDS,https://en.wikipedia.org/wiki/Alcohol_120%
.mds,"Alcohol 120% 镜像描述符文件, 配合 .mdf",MDS v1/v2,https://en.wikipedia.org/wiki/Media_Descriptor_File
.mdx,MDX Sharp X68000 音乐,MDX,https://en.wikipedia.org/wiki/X68000
.mdx2,MDX 多文件容器,MDX2,https://en.wikipedia.org/wiki/X68000
.med,OctaMED MED 模块,MED MED2/MED3/MED4,https://en.wikipedia.org/wiki/OctaMED
